book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
My Sister Daisy,"Karlsson, Adria",57094999.0,https://www.goodreads.com/book/show/57094999-my-sister-daisy?from_search=true&from_srp=true&qid=r3DJyqGKJN&rank=1,True,"My Sister Daisy Karlsson, Adria",4.33,297,,,155 (52%),106 (35%),24 (8%),4 (1%),8 (2%)
One Last Stop,"McQuiston, Casey",63290582.0,https://www.goodreads.com/book/show/63290582-study-guide?from_search=true&from_srp=true&qid=E7SNzQdvaB&rank=1,True,"One Last Stop McQuiston, Casey",1.00,2,,,0 (0%),0 (0%),0 (0%),0 (0%),2 (100%)
Push,Sapphire,7810126.0,https://www.goodreads.com/book/show/7810126-precious?from_search=true&from_srp=true&qid=I7NCVgHKDP&rank=1,True,Push Sapphire,3.92,302,,,94 (31%),124 (41%),60 (19%),15 (4%),9 (2%)
Rant: The Oral Biography of Buster Casey,"Palahniuk, Chuck",150093902.0,https://www.goodreads.com/book/show/150093902-rant?from_search=true&from_srp=true&qid=Belrt9jsdA&rank=1,True,"Rant: The Oral Biography of Buster Casey Palahniuk, Chuck",3.00,1,,,0 (0%),0 (0%),1 (100%),0 (0%),0 (0%)
Red Hood,"Arnold, Elana K.",43721070.0,https://www.goodreads.com/book/show/43721070-red-hood?from_search=true&from_srp=true&qid=8yQJoOAwkK&rank=1,True,"Red Hood Arnold, Elana K.",3.44,4097,,,840 (20%),"1,274 (31%)","1,138 (27%)",525 (12%),320 (7%)
Rick,"Gino, Alex",44660928.0,https://www.goodreads.com/book/show/44660928-rick?from_search=true&from_srp=true&qid=PYTCEFnWRU&rank=1,True,"Rick Gino, Alex",4.06,6855,,,"2,226 (32%)","3,059 (44%)","1,344 (19%)",180 (2%),46 (<1%)
Skin and Bones,"Shahan, Sherry",245889487.0,https://www.goodreads.com/book/show/245889487-skin-and-bones-by-sherry-shahan?from_search=true&from_srp=true&qid=87PzqkgtJC&rank=1,True,"Skin and Bones Shahan, Sherry",0.00,0,,,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
Storm and Fury,"Armentrout, Jennifer L.",40291564.0,https://www.goodreads.com/book/show/40291564-storm-and-fury?from_search=true&from_srp=true&qid=3cdiKpqDcY&rank=1,True,"Storm and Fury Armentrout, Jennifer L.",4.03,71370,,,"24,833 (34%)","28,867 (40%)","13,799 (19%)","2,896 (4%)",975 (1%)
The Crown of Gilded Bones,"Armentrout, Jennifer L.",55240343.0,https://www.goodreads.com/book/show/55240343-the-crown-of-gilded-bones?from_search=true&from_srp=true&qid=RYrKFFfeQk&rank=1,True,"The Crown of Gilded Bones Armentrout, Jennifer L.",4.16,457271,,,"206,957 (45%)","148,900 (32%)","74,122 (16%)","20,332 (4%)","6,960 (1%)"
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",24976555.0,https://www.goodreads.com/book/show/24976555-sidekick---the-duff?from_search=true&from_srp=true&qid=mlRkvqw1wa&rank=1,True,"The DUFF: Designated Ugly Fat Friend Keplinger, Kody",3.43,37,,,10 (27%),9 (24%),9 (24%),5 (13%),4 (10%)
The Wind-Up Bird Chronicle,"Murakami, Haruki",11019128.0,https://www.goodreads.com/book/show/11019128-summary-study-guide-the-wind-up-bird-chronicle-by-haruki-murakami?from_search=true&from_srp=true&qid=aUR8UH58X7&rank=1,True,"The Wind-Up Bird Chronicle Murakami, Haruki",3.82,22,,,7 (31%),6 (27%),8 (36%),0 (0%),1 (4%)
This Book Is Gay,"Dawson, Juno",142425642.0,https://www.goodreads.com/book/show/142425642-study-guide?from_search=true&from_srp=true&qid=QLcgpDpUyE&rank=1,True,"This Book Is Gay Dawson, Juno",0.00,0,,,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
This Is Kind of an Epic Love Story,"Callender, Kacen",36203673.0,https://www.goodreads.com/book/show/36203673-this-is-kind-of-an-epic-love-story?from_search=true&from_srp=true&qid=p76XyzdpsE&rank=1,True,"This Is Kind of an Epic Love Story Callender, Kacen",3.37,8454,,,"1,180 (13%)","2,598 (30%)","3,165 (37%)","1,177 (13%)",334 (3%)
Water for Elephants,"Gruen, Sara",10858119.0,https://www.goodreads.com/book/show/10858119-water-for-elephants-by-sara-gruen-summary-study-guide?from_search=true&from_srp=true&qid=VctrL89pUy&rank=1,True,"Water for Elephants Gruen, Sara",3.88,50,,,15 (30%),21 (42%),10 (20%),1 (2%),3 (6%)
What Girls Are Made Of,"Arnold, Elana K.",29401474.0,https://www.goodreads.com/book/show/29401474-what-girls-are-made-of?from_search=true&from_srp=true&qid=fFyOqyKwgT&rank=1,True,"What Girls Are Made Of Arnold, Elana K.",3.77,3580,,,980 (27%),"1,323 (36%)",870 (24%),299 (8%),108 (3%)
