book_title,challenge_reasons,num_reasons,primary_reason
Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Abuela's Birthday (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Chocolate Milk, Por Favor",Age-appropriateness concerns,1,Age-appropriateness concerns
"The Ladek Invasion (Jaden Toussaint, the Greatest Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
Nikki & Deja (Nikki & Deja Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Indian No More,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
My Papi Has a Motorcycle,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The People Shall Continue,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Abuela's Special Letters (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Hey, Charleston!: The True Story of the Jenkins Orphanage Band",Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
25 Women Who Fought Back,,0,Uncategorized
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Really Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
Yasmin the Teacher (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Boy Who Didn't Believe in Spring,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Missing Mouse (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Mindy Kim and the Trip to Korea (Mindy Kim Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Gordon Parks: How the Photographer Captured Black and White America,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Not Quite Snow White,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The 5 O'Clock Band,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Cilla Lee-Jenkins: The Epic Story (Cilla Lee-Jenkins Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Little Melba and Her Big Trombone,Age-appropriateness concerns,1,Age-appropriateness concerns
"Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure",Age-appropriateness concerns,1,Age-appropriateness concerns
I Promise,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
King & Kayla and the Case of the Secret Code (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Girl with a Mind for Math: The Story of Raye Montague,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Cilla Lee-Jenkins: This Book Is a Classic (Cilla Lee-Jenkins Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Yasmin the Chef (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Bat and the Waiting Game (A Boy Called Bat Series),Age-appropriateness concerns,1,Age-appropriateness concerns
A Kids Book About Racism,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
What Was Stonewall? (What was...? Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
Sulwe,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
WeirDo Series: Messy Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
They Called Us Enemy,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
Tameka's New Dress,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
WeirDo Series: Planet Weird,Age-appropriateness concerns,1,Age-appropriateness concerns
Teaching to Transgress: Education as the Practice of Freedom,Gender politics & feminism; Race & systemic inequality; Sexual or romantic content,3,Gender politics & feminism
Skin Like Mine (Kids Like Mine Series),Age-appropriateness concerns,1,Age-appropriateness concerns
25 Women Who Dared to Go,,0,Uncategorized
"Shining Legacy: A Treasury of ""Storypoems and Tales for the Young So Black Heroes Forever Will Be Sung""",,0,Uncategorized
Before the Ever After,Age-appropriateness concerns,1,Age-appropriateness concerns
Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,,0,Uncategorized
Who Was Eleanor Roosevelt? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Yasmin the Writer (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Around Our Way on Neighbors' Day,Age-appropriateness concerns,1,Age-appropriateness concerns
King & Kayla and the Case of Found Fred (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
A is for Audra: Broadway's Leading Ladies from A to Z,Age-appropriateness concerns,1,Age-appropriateness concerns
Peeny Butter Fudge,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Friendship Code (Girls Who Code Series),Age-appropriateness concerns; Gender politics & feminism,2,Age-appropriateness concerns
Planet Omar: Incredible Rescue Mission (Planet Omar Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Everyday Antiracism: Getting Real About Race in School,Race & systemic inequality,1,Race & systemic inequality
Lola Sleeps Over (Lola Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"""Multiplication Is for White People"": Raising Expectations for Other People's Children",,0,Uncategorized
Hot Day on Abbott Avenue,Age-appropriateness concerns,1,Age-appropriateness concerns
Duke Ellington: The Piano Prince and His Orchestra,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Malala's Magic Pencil,Age-appropriateness concerns; Gender politics & feminism; Race & systemic inequality,3,Age-appropriateness concerns
Who Was Harriet Beecher Stowe? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Sofia's Party Shoes (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Shades of People,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
WeirDo Series: Spinning Weird,Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Extra Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
Parachutes,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Race & systemic inequality; Sexual or romantic content,5,Age-appropriateness concerns
El Día En Que Descubres Quién Eres,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
WeirDo Series: Totally Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
Yasmin the Painter (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Who Was Marie Curie? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
From the Stars in the Sky to the Fish in the Sea,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
Stella Díaz Has Something to Say (Stella Díaz Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Amal Unbound,Age-appropriateness concerns,1,Age-appropriateness concerns
Our Favorite African Adrinkra Symbols: A Coloring Book,,0,Uncategorized
So You Want to Talk About Race,LGBTQ+ identity & sexuality; Race & systemic inequality,2,LGBTQ+ identity & sexuality
Beyond Theory: A Blueprint to Implement African-Centered Education,,0,Uncategorized
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Pedagogy of the Oppressed,Race & systemic inequality,1,Race & systemic inequality
My Hair is a Garden,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
I Am Enough,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Campfire Stories (Desmond Cole Ghost Patrol Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Who Is Michelle Obama? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
King & Kayla and the Case of the Gold Ring (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom",,0,Uncategorized
Yasmin the Recycler (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
On the Come Up,Age-appropriateness concerns,1,Age-appropriateness concerns
Planet Omar: Accidental Trouble Magnet (Planet Omar Series),Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Violence & mature themes,1,Violence & mature themes
For Black Girls Like Me,Age-appropriateness concerns,1,Age-appropriateness concerns
Who Is Barack Obama? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Lola at the Library (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Carmela Full of Wishes,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Front Desk (Front Desk Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
I Love My Hair,Age-appropriateness concerns,1,Age-appropriateness concerns
¡Vámonos! Let's Go!,Age-appropriateness concerns,1,Age-appropriateness concerns
El color de la piel,,0,Uncategorized
Early Sunday Morning,Age-appropriateness concerns; Race & systemic inequality; Religion & worldview,3,Age-appropriateness concerns
Brown Girl Dreaming,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Last Stop on Market Street,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Imani's Moon,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Dreamers,Age-appropriateness concerns,1,Age-appropriateness concerns
The Guide for White Women Who Teach Black Boys,Race & systemic inequality,1,Race & systemic inequality
New Kid,Age-appropriateness concerns,1,Age-appropriateness concerns
Keena Ford and the Second Grade Mix Up (Keena Ford Series),Age-appropriateness concerns,1,Age-appropriateness concerns
For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,Race & systemic inequality,1,Race & systemic inequality
Ruby Flips For Attention (Ruby and the Booker Boys Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Who Was Susan B. Anthony? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race,Race & systemic inequality,1,Race & systemic inequality
Squanto's Journey: The Story of the First Thanksgiving,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Lola Levine: Drama Queen (Lola Levine Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Who Is Malala Yousafzai? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Don't Touch My Hair!,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),,0,Uncategorized
"Elizabeth Blackwell, the First Woman Doctor",,0,Uncategorized
Enough! 20 Protesters Who Changed America,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Culturally Responsive Teaching: Theory, Research, and Practice",,0,Uncategorized
The Hula-Hoopin' Queen,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Hector's Hiccups (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
When the Beat Was Born: DJ Kool Herc and the Creation of Hip Hop,Age-appropriateness concerns,1,Age-appropriateness concerns
Luis Munoz Marin (Community Builders),Age-appropriateness concerns,1,Age-appropriateness concerns
Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,Race & systemic inequality,1,Race & systemic inequality
Cece Loves Science (Cece Loves Science Series),Age-appropriateness concerns,1,Age-appropriateness concerns
