book_title,challenge_reasons,num_reasons,primary_reason
Like Water,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
"Daddy, Papa, and Me",Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
The Bracelet,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Pink!,Age-appropriateness concerns,1,Age-appropriateness concerns
Anne Frank's Diary: The Graphic Adaptation,Race & systemic inequality,1,Race & systemic inequality
Thirteen Moons on Turtle's Back: A Native American Year of Moons,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
A Little Piece of Ground,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
Flying the Dragon,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Age-appropriateness concerns,1,Age-appropriateness concerns
Stonewall: A Building. An Uprising. A Revolution.,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
Ashes to Asheville,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
A Dream Come True: Coming to America from Vietnam-1975,,0,Uncategorized
Who Is the Dalai Lama? (Who was...? Series),Age-appropriateness concerns; Religion & worldview; Violence & mature themes,3,Age-appropriateness concerns
Time to Pray,Age-appropriateness concerns; Race & systemic inequality; Religion & worldview,3,Age-appropriateness concerns
Dear Juno,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Invisible Life of Addie LaRue,Sexual or romantic content,1,Sexual or romantic content
Before She Was Harriet,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Juana & Lucas (Juana and Lucas Series),Age-appropriateness concerns,1,Age-appropriateness concerns
When Aidan Became A Brother,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
The Misadventures of the Family Fletcher (Family Fletcher Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Dateable Rules: A Guide to the Sexes,Sexual or romantic content,1,Sexual or romantic content
"Thank You, Jackie Robinson",Age-appropriateness concerns,1,Age-appropriateness concerns
Love to Mama: A Tribute To Mothers,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Four Feet, Two Sandals",Age-appropriateness concerns,1,Age-appropriateness concerns
Lost and Found Cat : The True Story of Kunkush's Incredible Journey,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Fans of the Impossible Life,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Age-appropriateness concerns
Sonia Sotomayor (Women Who Broke the Rules Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Luciana (Nine Months Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Henry Aaron's Dream,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
