book_title,author
Mapping the Bones,"Yolen, Jane"
Margaux with an X,"Koertge, Ronald"
Massacre at Virginia Tech: Disaster & Survival,"Worth, Richard"
Matched,"Condie, Ally"
Mayo Clinic Family Health Book (Unknown Edition),"Litin, Scott"
Media Violence,"Dudley, William"
Medieval Europe,"Hodge, Susie"
Medieval Life,"Langley, Andrew"
Megan's Law: Protection or Privacy,"Fodor, Margie Druss"
Mesopotamia,"Steele, Phillip"
"Mexican, Central & South American Art","Scott, John"
Michelangelo and His Times,"Milande, Veronique"
Monsters of Mythology (Vol. not specified),"Evslin, Bernard"
Moses and Judaism,"Barron, Sharon"
Mosque,"Macauley, David"
Muhanmmad and Islam,"Marchant, Kerena"
Mummies Made in Egypt,Aliki
My Sad Is All Gone: A Family's Triumph Over Violent Autism,"Wheatley, Thelma"
Mysteries of History,"Stewart, Robert"
"Mysteries of Mankind (Series, Title Not Specified)",National Geographic Society
Mystics and Psychics,"Mattern, Joanne"
Mythology (DK),DK
Myths and Civilization of the Ancient Greeks,"Martell, Hazel Mary"
Native American Literature,"Gleason, Katherine"
Never So Green,"Johnston, Tim"
North American Art to 1900,"Pancza-Graham, Arleen"
"Online Pornography (Title only, no further information)",No Further Information Available
Origins of the Holocaust,"Downing, David"
Our Hearts Will Burn Us Down,"Valente, Anne"
Period 8,"Crutcher, Chris"
Persecution and Emigration,"Downing, David"
Photocraft,"Herter, Frankel Lovett"
Physician-Assisted Suicide,"Marzilli, Alan"
Pirate: Discover the Pirates Who Terrorized the Seas from the Mediterranean to the Caribbean,"Platt, Richard"
Pornography,"Cothran, Helen"
Practical Photography,"Freeman, John"
Pretties,"Westerfeld, Scott"
Ramses II and Egypt,"Tiano, Olivier"
Reached,"Condie, Ally"
"Read With Dick and Jane books (Series, Title not specified)",Penguin Young Readers
"Real Boys' Voices: Boys Speak Out About Drugs, Sex, Violence, Bullying, Sports, School, Parents, and So Much More","Pollack, William S."
Reincarnation,"Weyn, Suzanne"
"Reproductive Technologies (Title only, no further information)",No Further Information Available
Resisters and Rescures-Standing Up Against,"Altman, Linda Jacobs"
Ripley's Believe It Or Not! Special Edtion 2008,Ripley's Inc.
Safe Teen: Powerful Alternatives to Violence,"Roberts, Anita"
Sarah Dessen: From Burritos to Box Office,"Glenn, Wendy J."
School Violence,"Jones, Jeffrey P."
Screenshot,"Cooner, Donna"
Scylla and Charybdis,"Evslin, Bernard"
Scythe,"Shusterman, Neal"
"Sex Education (Title only, no further information)",No Further Information Available
"Sexual Harassment (Title only, no further information)",No Further Information Available
Shabanu: Daughter of the Wind,"Staples, Suzanne Fisher"
"Shakespeare Remains: Theater to Film, Early Modern to Postmodern","Lehmann, Courtney"
Sisters of the Sword,"Snow, Maya"
"Skeleton: Discover the Evolution, Structure, and Functions of Bones","Parker, Steve"
Sovay,"Rees, Celia"
Specials,"Westerfeld, Scott"
"Suicide (Title only, no further information)",No Further Information Available
Suicide Bombers,"Greenberger, Robert"
Sunrise Over Fallujah,"Myers, Walter Dean"
Survivors: True Stories of Children in the Holocaust,"Zullo, Allan"
Swimwear in Vogue Since 1910,"Probert, Christina"
Tales From My Closet,"Moses, Jennifer Anne"
"Teen pregnancy (Title only, no further information)",No Further Information Available
Teenage Pregnancy,"Thompson, Stephen P."
Teens At Risk,"Ojeda, Auriana"
Tell Them We Remember: The Story of the Holocaust,"Bachrach, Susan D."
"The Abortion Controversy (Title only, no further information)",No Further Information Available
"The American Revolution: ""Give Me Liberty or Give Me Death!""","Kent, Deborah"
"The Architecture and Design of Man and Woman: The Marvel of the Human Body, Revealed","Tsiaras, Alexander"
The Artist's Eye,"Shorr, Harriet"
The Barbarian Tides: Timeframe 1500-600 BC,Time-Life Books
The Battle of the Labyrinth,"Riordan, Rick"
The Beat Goes On,"Minchin, Adele"
The Book Thief,"Zusak, Markus"
The Boys' War: Confederate and Union Soldiers Talk About the Civil War,"Murphy, Jim"
The Buddha and Buddhism,"Marchant, Kerena"
"The Chronicles of Vladimir Tod (Series, Title Not Specified)","Brewer, Heather"
The Columbine School Shootings,"Mackay, Jenny"
The Complete Book of Cats,"Pilbeam, Rosie"
The Complete Book of Dogs,"Pilbeam, Rosie"
The Complete Kodak Book of Photography,"Dickey, Thomas"
The Covenant,"Lewis, Beverly"
The Creek,"Holm, Jennifer"
The Crisis of Islam: Holy War and Unholy Terror,"Lewis, Bernard"
The Curse of King Tut,"Netzley, Patricia D."
The Cyclopes,"Evslin, Bernard"
The Death Penalty for Teens: A Pro/Con Issue,"Day, Nancy"
"The Digestive System (Title and author only, no further information)",Parramon
The End and Other Beginnings: Stories from the Future,"Roth, Veronica"
The First Americans: The Story of Where They Came From and Who They Became,"Aveni, Anthony F."
The French Revolution,"Barber, Nicola"
The Furies,"Evslin, Bernard"
The Gendered Atom: Reflections on the Sexual Psychology of Science,"Roszak, Theodore"
The Good Fight: How World War II Was Won,"Ambrose, Stephen E."
"The Great Civilizations (Series, Title not Specified)","Wyborny, Sheila"
The Greek News,"Steele, Phillip"
"The Guy Book: An Owner's Manual for Teens: Maintenance, Safety, and Operating Instructions","Jukes, Mavis"
"The Haiti Earthquake (Title only, no further information)",No Further Information Available
The Harvard Medical School Family Health Guide,"Komaroff, Anthony"
The Hidden Children of the Holocaust: Teens Who Hid from the Nazis,"Kustanowitz, Ester"
The Holocaust (AR),"Resnick, Abraham"
The Holocaust and Life Under Nazi Occupation,"Darman, Peter"
The Holocaust: A Primary Source History,"Bartel, Judy"
The Holocaust: Survival and Resistance,"Levy, Pat"
The How and Why Wonder Book of The Human Body,"Keen, Martin"
The Human Body (BF),"Ford, Brian"
The Human Body (SS),"Savran, Stacy"
"The Human Body Book: An Illustrated Guide to its Structure, Function, and Disorders","Parker, Steve"
The Iroquois,"Sonneborn, Liz"
The Jewish Victims of the Holocaust,"Altman, Linda Jacobs"
The Killing Sea,"Lewis, Richard"
The Ku Klux Klan: A Century of Infamy,"Randel, William Pierce"
The Last Olympian,"Riordan, Rick"
"The Legend of Drizzt, Vol. 2: Exile","Dabb, Andrew"
"The Legend of Drizzt, Vol. 3: Sojourn","Dabb, Andrew"
"The legend of Drizzt, Vol. 6: The Halfling's Gem","Dabb, Andrew"
"The legend of Drizzt, Vol. 7: The Legacy","Dabb, Andrew"
The Long Road to Gettysburg,"Murphy, Jim"
The Making of a Navy Seal: My Story of Surviving the Toughest Challenge and Training the Best,"Webb, Brandon"
"The Mark of the Golden Dragon: Being an Account of the Further Adventures of Jacky Faber, Jewel of the Weast, Vexation of the West, and Pearl of the South China Sea","Meyer, L. A."
The Media: The Impact on Our Lives,"Petley, Julian"
The Militia Movement and Hate Groups in America,"McCuen, Gary E."
The Minotaur,"Evslin, Bernard"
The Moneylender's Daughter,"Richardson, V. A."
The Nazi Death Camps,"Downing, David"
The Nervous System,"Roca, Nuria"
The New Encyclopedia of the Cat,"Fogle, Bruce"
The Oklahoma City Bombing: Terror in the Heartland,"Sherrow, Victoria"
The Parthenon of Ancient Greece,"Nardo, Don"
The Pequots,"Newman, Shirlee"
The Pigman,"Zindel, Paul"
The Poetry of the Negro: 1746-1970,"Hughes, Langston"
The Right Fight,"Lynch, Chris"
The Roman News,"Steele, Phillip"
The Secret Holocaust Diaries: The Untold Story of Nonna Bannister,"Bannister, Nonna"
The Senses,"Bellamy, Rufus"
The Seven Wonders of the Ancient World,"Cox, Reg"
The Seven Wonders of the Historic World,"Cox, Reg"
The short novels of John Steinbeck,"Steinbeck, John"
The Short Second Life of Bree Tanner: An Eclipse Novella,"Meyer, Stephanie"
The Skeletal and Muscular systems,"Glass, Susan"
The Skeletal System,"Arnau, Edward"
The Spanish-American War,"Graves, Kerry A."
The Sphinx,"Evslin, Bernard"
The Square Root of Summer,"Hapgood, Harriet Rueter"
The Timeline of the Civil War,"Wright, John"
The Titan's Curse,"Riordan, Rick"
The Toll,"Shusterman, Neal"
The Warrior's Heart : Becoming a Man of Compassion and Courage,"Greitens, Eric"
Through Indian Eyes: The Untold Story of Native American Peoples,Reader's Digest
"Ties That Bind, Ties That Break","Namioka, Lensey"
Tobacco: The Real Story,"Stronck, David R."
"Together, Apart","Craig, Erin A."
Top 10 Worst Creepy Egyptians Mummies You Wouldn't Want to Meet,"Stewart, David"
Top 10 Worst Things About Ancient Egypt You Wouldn't Want To Know!,"England, Victoria"
Top 10 Worst Things about Ancient Greece You Wouldn't Want to Know!,"England, Victoria"
Top 10 Worst Things About Ancient Rome You Wouldn't Want to Know!,"England, Victoria"
Towards Genocide,"Downing, David"
Trails to the Far West: Beyond the Mississippi,"Pelta, Kathy"
Troubadour,"Hoffman, Mary"
Truce,"Murphy, Jim"
True Believer (VEW),"Wolff, Virginia Euwer"
Uglies,"Westerfeld, Scott"
Vampirates: Tide of Terror,"Somper, Justin"
Vampires,"Roberts, Russell"
Van Gogh,"Bowen, Richard A."
Vietnam,Discovery Channel
Vietnam War,"Gitlin, Martin"
Vincent's Starry Night and Other Stories: A Children's History of Art,"Bird, Michael"
"Violence Against Women (Title only, no further information)",No Further Information Available
"Violence in Our Schools: Halls of Hope, Halls of Fear","Orr, Tamra B."
"Violence in the Media (Title only, no further information)",No Further Information Available
Violence: Opposing Viewpoints,"Egendorf, Laura K."
Virtue & Vengeance,"Adeyemi, Tomi"
Vive La France The French Resistance W.W.2,"Green, Robert"
We the People: The Trail of Tears,"Burgan, Michael"
We Were There Too! Young People in US History,"Hoose, Phillip M."
"Weapons of Mass Destruction (Title only, no further information)",No Further Information Available
Welcome to Italy (JH),"Hausam, Josephine"
What Happens When You Grow?,"Richardson, Joy"
What Motivates Suicide Bombers?,"Friedman, Lauri S."
Who Uses Drugs,"Gwynne, Peter"
Whose Bible Is It?: A History of the Scriptures,"Pelikan, Jaroslav Jan"
Why Did Hiroshima Happen?,"Grant, Reg"
Why Waco?: Cults and the Battle for Religious Freedom in America,"Tabor, James D."
Witches,"Kallen, Stuart"
Witches and Magic-Makers,"Hill, Douglas"
With Their Eyes: September 11th - The View From A High School at Ground Zero,"Thomas, Annie"
World War II,"Hamen, Susan E."
You Wouldn't Want to be a Slave in Greece!: A Life You'd Rather Not Have,"Macdonald, Fiona"
19th Century Art,"Rosenblum, Robert"
A Pocket Dictionary of Greek and Roman Gods and Goddesses,"Woff, Richard"
A Story of Medicine in 50 Discoveries: From Mummies to Gene Splicing,"Vigliani, Marguerite"
Al Capone,"Meralli, Swann"
Albrecht Durer,"Eichler, Anja-Franziska"
"All You Need is Kill, Book 1","Obata, Takeshi"
Alphonse Mucha,"Mucha, Alphonse"
Amedeo Modigliani 1884-1920: The Poetry of Seeing,"Krystof, Doris"
America's Art: Smithsonian American Art Museum,"Slowik, Theresa, J."
Ancient Greek Art and Architecture,"Nardo, Don"
Ancient Roman Art and Architecture,"Nardo, Don"
Annotated Art,"Cumming, Robert"
Art and Architecture in Mexico,"Oles, James"
Art Attack: A Short Cultural History of the Avant-Garde,"Aronson, Marc"
Art That Changed the World: Transformative Art Movements and the Paintings That Inspired Them,"Chilvers, Ian"
Art Theory for Beginners,"Osborne, Richard"
Art: An A-Z Guide,"Greenway, Shirley"
Athena (BAH),"Hoena, B. A."
Athena (RR),"Roberts, Russell"
Auguste Rodin: 1840-1917,"Blanchetiere, Francois"
Black Art: A Cultural History,"Powell, Richard J."
"Blue Period, Vol. 5","Yamaguchi, Tsubasa"
"Blue Period, Vol. 6","Yamaguchi, Tsubasa"
"Blue Period, Vol. 7","Yamaguchi, Tsubasa"
"Blue Period, Vol. 8","Yamaguchi, Tsubasa"
"Blue Period, Vol. 9","Yamaguchi, Tsubasa"
Botticelli,"Santi, Bruno"
Brave New World: A Graphic Novel,"Huxley, Aldous"
Butts Are Everywhere,"Stutzman, Jonathan"
Caravaggio: The Art of Realism,"Varriano, John L."
Caribbean Art,"Poupeye, Veerle"
Chagall,"Polonsky, Gill"
"Chainsaw Man (Series, Title Not Specified)","Fujimoto, Tatsuki"
Chardin,"Naughton, Gabriel"
Chicano Visions: American Painters on the Verge,"Marin, Cheech"
"Children of the Sea (Series, Title Not Specified)","Igarashi, Daisuke"
Classical Mythology: Myths and Legends of the Ancient World,"Hawthorne, Nathaniel"
Collide,"Khabra, Bal"
Contemporary African Art,"Kasfir, Sidney Littlefield"
Degas,"Roberts, Keith"
Diane Arbus: An Aperture Monograph,"Arbus, Diane"
Diego Velazquez 1599-1660: The Face of Spain,"Wolf, Norbert"
Digital Art: A Complete Guide to Making Your Own Computer Artworks,"Cousens, David"
Dionysus,"Roberts, Russell"
"Don't Toy With Me, Miss Nagatoro, Vol. 6",Nanashi
"Don't Toy With Me, Miss Nagatoro, Vol. 7",Nanashi
"Don't Toy With Me, Miss Nagatoro, Vol. 8",Nanashi
"Don't Toy With Me, Miss Nagatoro, Vol. 9",Nanashi
Donatello,"Bertela, Giovanna Gaeta"
Filippo Lippi,"Fossi, Glorio"
"Flame of Recca, Vol. 3","Anzai, Nobuyuki"
"Frida Kahlo, 1907-1954: Pain and Passion","Kettenmann, Andrea"
Georgia O'Keeffe,O'Keeffe
Giotto di Bondon: About 1267-1337,"Mueller, Anne"
God: A Brief History,"Bowker, John"
Gods & Goddesses in the Daily Life of the Ancient Greeks,"Macdonald, Fiona"
Gods and Goddesses,"Malam, John"
Goya,"Goya, Francisco"
Greek Legends and Stories,"Seton-Williams, M. V."
Greek Mythology for Beginners,"Lee, Joe"
Greek Myths: A New Retelling,"Higgins, Charlotte"
Gustav Klimt: Drawings & Paintings,"Klimt, Gustav"
Hades (AR),"Richardson, Adele"
Hades (KR),"Reusser, Kayleen"
Henri Cartier-Bresson: The Modern Century,"Cartier-Bresson, Henri"
Henry Taylor: B Side,"Simpson, Bennett"
Hephaestus,"Reusser, Kayleen"
Heroes: The Greek Myths Reimagined,"Fry, Stephen"
Holbein,"Langdon, Helen"
How to Read a Painting: Lessons from the Old Masters,"de Rynck, Patrick"
Human Anatomy: The Definitive Visual Guide,"Roberts, Alice"
"Hunter X Hunter (Series, Title Not Specified)","Togashi, Yoshihiro"
I Too Sing America: The Harlem Renaissance at 100,"Haygood, Wil"
"Impressionism and Post-Impressionism: The Hermitage, Leningrad, the Pushkin Museum of Fine Arts, Moscow, and the National Gallery of Art, Washington","Bessonova, Marina"
In Praise of Black Women: Ancient African Queens,"Schwarz-Bart, Simone"
In the Black Fantastic,"Eshun, Ekow"
"It's Totally Normal!: An LGBTQIA+ Guide to Puberty, Sex, and Gender","Mehta, Monika Gupta"
Jean-Michel Basquiat,"Nairne, Eleanor"
"Joan Miro, 1893-1983: The Poet Among the Surrealists","Mink, Janis"
"Jojo's Bizarre Adventure (Series, Title Not Specified)","Araki, Hirohiko"
"Jujutsu Kaisen (Series, Title Not Specified)","Akutami, Gege"
"Kill Shakespeare, Vol. 2","McCreery, Conor"
"Kill Shakespeare, Vol. 3 - The Tide of Blood","McCreery, Conor"
"Kill Shakespeare, Vol. 4 - The Mask of Night","McCreery, Conor"
Leonardo da Vinci: 1452-1519,"Hohenstatt, Peter"
"Leonardo da Vinci: Artist, Inventor and Scientist of the Renaissance","Romei, Francesca"
"Locke & Key (Series, Title Not Specified)","Hill, Joe"
Love and Other Words,"Lauren, Christina"
Magritte,"Calvocoressi, Richard"
"Man-Eaters (Series, Title not Specified)","Cain, Chelsea"
Manet,"Richardson, John"
Mary McCartney: From Where I Stand,"McCartney, Mary"
Masaccio and the Brancacci Chapel,"Casazza, Ornella"
Masterpieces: The Best-Loved Paintings from America's Museums,"Frankel, David"
Matisse,"Crepaldi, Gabriele"
"Maxfield Parrish, 1870-1966","Yount, Sylvia"
Medicine: A Graphic History,"Fabiani, Jean-Noël"
Medieval European Art and Architecture,"Nardo, Don"
Michelangelo Buonarroti,"Bartz, Gabriele"
Michelangelo: Sculptor and Painter,"Somervill, Barbara A."
"Mobile Suit Gundam Thunderbolt (Series, Title Not Specified)","Ohtagaki, Yasuo"
"Moriarty the Patriot, Vol. 3","Takeuchi, Ryosuke"
Mythos: The Greek Myths Reimagined,"Fry, Stephen"
Myths & Legends: An Illustrated Guide To Their Origins and Meanings,"Wilkinson, Philip"
National Gallery of Art: Master Paintings from the Collection,"Hand, John Oliver"
Netter's Anatomy Coloring Book,"Hansen, John T."
Netter's Atlas of the Human Body,"Netter, Frank H."
Oceanic Art,"Thomas, Nicholas"
"Pablo Picasso, A Retrospective","Picasso, Pablo"
"Parasyte (Series, Title Not Specified)","Iwaaki, Hitoshi"
Paul Cézanne,"Copplestone, Trewin"
Paul Gaugin,"Huyghe, Rene"
Perseus,"Harkins, Susan Sales"
Pierre Auguste Renoir,"Copplestone, Trewin"
Pinkalicious,"Kann, Victoria"
Poseidon (BAH),"Hoena, B. A."
Poseidon (RR),"Roberts, Russell"
Rain,"Hill, Joe"
"Ranma 1/2 (Series, Title Not Specified)","Takahashi, Rumiko"
Raphael,"Santi, Bruno"
"Ready, Set, Grow!: A ""What's Happening to My Body?"" Book for Younger Girls","Madaras, Lynda"
Religion,"Langley, Myrtle"
Renaissance,"Holmes, George"
Richard Jolley: Sculptor of Glass,"Jolley, Richard"
Richard Matheson: Master of Terror Graphic Novel Collection,"Adams, Ted"
Ripper: The Secret Life of Walter Sickert,"Cornwell, Patricia"
Rot & Ruin: Warrior Smart,"Maberry, Jonathan"
Salvador Dali,"Duane, O.B."
Sandy Skoglund,"Skoglund, Sandy"
Sculpture,"Opie, Mary-Jane"
Secrets of the Human Body,"van Tulleken, Chris"
Sister Wendy's Story of Painting: The Essential Guide to the History of Western Art,"Beckett, Wendy"
"Sleeping Beauties, Vol. 1","Youers, Rio"
"Sleeping Beauties, Vol. 2","Youers, Rio"
"So Cute It Hurts!!, Vol. 12","Ikeyamada, Gō"
"So Cute It Hurts!!, Vol. 13","Ikeyamada, Gō"
"So Cute It Hurts!!, Vol. 14","Ikeyamada, Gō"
"So Cute It Hurts!!, Vol. 15","Ikeyamada, Gō"
Take It As a Compliment,"Stoian, Maria"
Tattoo History Source Book: An Anthology of Historical Records of Tattooing Throughout the World,"Gilbert, Steve"
The Art of Contemporary China,"Jiang, Jiehong"
The Art of Drag,"Hall, Jake"
The Art of Ukraine,"Lozhkina, Alisa"
The Body Book for Boys,"Mar, Jonathan"
The Book of Unknown Americans,"Henriquez, Cristina"
The Children's Dictionary of Mythology,"Leeming, David Adams"
The Complete History of Costume & Fashion: From Ancient Egypt to the Present Day,"Cosgrave, Bronwyn"
The Encyclopedia of Sculpting Techniques,"Plowman, John"
"The Everything Classical Mythology Book: Greek and Roman Gods, Goddesses, Heroes, and Monsters from Ares to Zeus","Bolton, Lesley"
The Figure in Clay: Contemporary Sculpting Techniques by Master Artists,"Tourtillott, Suzanne"
The Handy Anatomy Answer Book,"Balaban, Naomi E."
The Handy Mythology Answer Book,"Leeming, David Adams"
The History of Archaeology: Great Excavations of the World,"Romer, John"
The Iliad (A Graphic Novel),"Hinds, Gareth"
The Illustrated Book of Myths: Tales & Legends of the World,"Philip, Neil"
The Island of Dr. Moreau,"Wells, H. G."
The Italian Renaissance,"Holmes, George"
The Journey of Diego Rivera,"Goldstein, Ernest"
The Last Book on the Left: Stories of Murder and Mayhem From History's Most Notorious Serial Killers,"Kissel, Ben"
The Nobleman's Guide to Scandal and Shipwrecks,"Lee, Mackenzi"
The Odyssey (Graphic Novel),"Hinds, Gareth"
The Panorama of the Renaissance,"Aston, Margaret"
The Photograph as Contemporary Art,"Cotton, Charlotte"
The Poster: A Visual History,"Saunders, Gill"
"The Promised Neverland (Series, Title Not Specified)","Shirai, Kaiu"
The Quest for Paradise: Visions of Heaven and Eternity in the World's Myths and Religions,"Ashton, John"
The Snow Globe Family,"O'Connor, Jane"
The Story of Sculpture: From Prehistory to the Present,"Romei, Francesca"
The What's Happening to My Body? Book for Girls: A Growing-up Guide for Parents and Daughters,"Madaras, Lynda"
Theseus and the Minotaur,"Welvaert, Scott R."
This Delicious Death,"Cottingham, Kayla"
Titian: Sacred and Profane Love,"Zuffi, Stefano"
"Tiziano Vecaellio, known as Titian","Kaminski, Marion"
"Treasury of Greek Mythology: Classic Stories of Gods, Goddesses, Heroes and Monsters","Napoli, Donna Jo"
Tribe: Endangered Peoples Around the World,"Gibbon, Piers"
Troy: The Greek Myths Reimagined,"Fry, Stephen"
Twisted Myths: 20 Classic Stories With a Dark and Dangerous Heart,"McHugh, Maura"
Uelsmann Untitled: A Retrospective,"Uelsmann, Jerry"
Understanding Greek Myths,"Hyde, Natalie"
Vanished Civilizations of the Ancient World,"Lhote, Henri"
Velázquez,"Giorgi, Rosa"
Vincent van Gogh: The Complete Paintings,"Metzger, Rainer"
Wake Up Our Souls: A Celebration of Black American Artists,"Bolden, Tonya"
"What Life Was Like at the Dawn of Democracy: Classical Athens, 525-322 BC",Time-Life Books
"What Life Was Like at the Rebirth of Genius: Renaissance Italy, AD 1400-1550",Time-Life Books
What Life Was Like on the Banks of the Nile: Egypt 3050-30 BC,Time-Life Books
"What Life Was Like When Rome Ruled the World: The Roman Empire, 100 BC-AD 200",Time-Life Books
"When the Beginning Began: Stories about God, the Creatures, and Us","Lester, Julius"
Wild Boy: The Real Life of the Savage of Aveyron,"Losure, Mary"
William Eggleston: Portraits,"Prodger, Phillip"
Witches: The Complete Collection,"Igarashi, Daisuke"
Yayoi Kusama,"Kusama, Yayoi"
Your Travel Guide to Ancient Greece,"Day, Nancy"
Zeus (BAH),"Hoena, B. A."
Zeus (RR),"Roberts, Russell"
And We Stay,"Hubbard, Jenny"
Even When Your Voice Shakes,"Goka, Ruby Yayra"
Into the Light,"Oshiro, Mark"
Off the Record,"Garrett, Camryn"
This is Where the World Ends,"Zhang, Amy"
Plan A,"Caletti, Deb"
The Sun and her Flowers,"Kaur, Rupi"
This is Kind of an Epic Love Story,"Callender, Kacen"
"You Know, Sex - Bodies, Gender, Puberty and Other Things!","Silverberg, Cory"
A Long Stretch of Bad Days,"McGinnis, Mindy"
A Work of Art,"Maysonet, Melody"
"Age of Bronze, Vol. 1: A Thousand Ships","Shanower, Eric"
"Age of Bronze, Vol. 2: Sacrie","Shanower, Eric"
"AirGear (Series, Title Not Specified)","Yukon, Makoto"
"Akira (Series, Title not Specified)","Otomo, Katsuhiro"
"Alice 19th (Series, Title Not Specified)","Watase, Yu"
Anna Dressed in Blood,"Blake, Kendare"
Antipodes,"Bacon, Michelle"
Any Second,"Emerson, Kevin"
Arrow to the Moon,"Pan, Emily X. R."
As She Fades,"Glines, Abbi"
Audacious,"Prendergast, Gabrielle"
Baptism of Fire,"Sapkowski, Andrzej"
Beck,"Peet, Mal"
Beginnings - Battle of Jericho Hill,"Furth, Robin"
Beginnings - The Fall of Gilead,"Furth, Robin"
Beginnings - The Gunslinger Born,"Furth, Robin"
Beginnings - The Long Road Home,"Furth, Robin"
Beginnings - Treachery,"Furth, Robin"
Beyond the Black Door,"Strickland, A.M."
"Bleach, Vol. 34","Kubo, Tite"
"Bleach, Vol. 42","Kubo, Tite"
"Bleach, Vol. 8","Kubo, Tite"
"Bloom Into You (Series, Title not Specified)","Nio, Nakatani"
"Blue Exorcist (Series, Title not Specified)","Kato, Kazue"
"Bungo Stray Dogs (Series, Title Not Specified)","Asagiri, Kafka"
Capricous,"Prendergast, Gabrielle"
"Case Closed (Series, Title Not Specified)","Aoyama, Gosho"
Castle of Lies,"Burkhart, Kiersi"
Crash into You (KM),"McGarry, Katie"
Crazy Rich Asians,"Kwan, Kevin"
Dare You To,"McGarry, Katie"
Daughter of Chaos,"Brennan, Sara Rees"
Discovery of Witches,"Harkness, Deborah"
Dogchild,"Brooks, Kevin"
Durarara!! Vol. 2,"Narita, Ryogo"
Elysium Girls,"Pentecost, Kate"
Every Young Man's Battle: Strategies for Victory in the Real World of Sexual Temptation,"Arterburn, Stephen"
"Fist of the North Star (Series, Title not Specified)","Buronson, Tetsuo Hara"
Gentleman,"Northrop, Michael"
Guantanamo Voices: True Accounts from the World's Infamous Prison,"Mirk, Sarah"
H.G. Wells: The Invisible Man,Dobbs
H.G. Wells: The Time Machine,Dobbs
Have a Little Faith In Me,"Hartl, Sona"
History of Wolves,"Fridlund, Emily"
Home Field Advantage,"Adler, Dahlia"
"I am Nujood, Divorced at 10","Ali, Jujood"
I Hate Everyone But You,"Dunn, Gaby"
I Kill Giants,"Kelly, Joe"
"I See London, I see France","Mlynowski, Sarah"
I was the Cat,"Tobin, Paul"
If There Be Thorns,"Andrews, V. C."
If You're Out There,"Loutzenhiser, Katy"
"InuYasha (Series, Title not Specified)","Takahashi, Rumiko"
Kingdom of the Wicked (KM),"Maniscalco, Kerri"
Kissing Lessons,"Jordan, Sophie"
LaRose,"Erdich, Louise"
"Lies, Knives, and Girls in Red Dresses","Koertge, Ron"
Long Way Home,"McGarry, Katie"
Lying in the Deep,"Urban, Diana"
Machete Squad,"Dulak, Brent"
Manga Shakespere: The Tempest,"Shakespeare, William"
"Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir","Forney, Ellen"
Memoirs of a Teenage Amnesiac,"Zevin, Gabrielle"
Middlegame,"McGuire, Seanan"
"My Hero Academia, Vigilantes Vol. 1","Furuhashi, Hideyuki"
"My Hero Academia, Vigilantes Vol. 2","Furuhashi, Hideyuki"
My Life Next Door,"Fitzpatrick, Huntley"
Nightbane,"Aster, Alex"
Notes from My Captivity,"Parks, Kathy"
Nowhere But Here,"McGarry, Katie"
Only A Breath Apart,"McGarry, Katie"
Only Ashes Remain,"Schaeffer, Rebecca"
Our Chemical Hearts,"Sutherland, Krystal"
Paper Girls (Series Title Not Specified),"Vaughan, Brian K."
Paper Palace,"Cowley Heller, Miranda"
Path of Night,"Brennan, Sara Rees"
Plague Land No Escape,"Scarrow, Alex"
Plague Land Reborn,"Scarrow, Alex"
Private Lessons,"Salaysay, Cynthia"
Raven Summer,"Almond, David"
Ready Player Two,"Cline, Ernest"
Recipe for Hate,"Kinsella, Warren"
Red Ink,"Mayhew, Julie"
Right Where You Left Me,"Devlin, Calla"
"Rosario and Vampire (Series, Title Not Specified)","Ikeda, Akihisa"
Runaway Girl: Escaping Life on the Streets,"Phelps, Carissa"
Say You'll Remember Me,"McGarry, Katie"
Season of Storms,"Sapkowski, Andrzej"
Season of the Witch (SRB),"Brennan, Sara Rees"
Seeds of Yesterday,"Andrews, V.C."
"Seven Deadly Sins (Series, Title not Specified)","Suzuki, Nakaba"
Seven Endless Forests,"Tucholke, April Genevieve"
Ship of Smoke and Steel,"Wexler, Django"
Small Great Things,"Picoult, Jodi"
"Snow, Glass, Apples","Gaiman, Neil"
Social Intercourse,"Howard, Greg"
"Soul Eater, Vol. 18","Ohkubo, Atsushi"
"Soul Eater, Vol. 19","Ohkubo, Atsushi"
"Soul Eater, Vol. 20","Ohkubo, Atsushi"
"Soul Eater, Vol. 24","Ohkubo, Atsushi"
"Soul Eater, Vol. 25","Ohkubo, Atsushi"
Take Me On,"McGarry, Katie"
The Accidential Bad Girl,"Kaplan, Maxine"
The Awesome,"Darrows, Eva"
The Burnouts,"Thomas, Lex"
The Color of Heaven,"Hwa, Kim Dong"
The Color of Water,"Hwa, Kim Dong"
The Complete Persepolis: Volumes 1 and 2,"Satrapi, Marjane"
The Drawing of the Three - Bitter Medicine,"Furth, Robin"
The Drawing of the Three - House of Cards,"Furth, Robin"
The Drawing of the Three - Lady of Shadows,"Furth, Robin"
The Drawing of the Three - The Prisoner,"Furth, Robin"
"The Girl, the Guy, the Artist, and His Ex","Williams, Gabrielle"
The Gunslinger - Last Shots,"Furth, Robin"
The Gunslinger - The Battle of Tull,"Furth, Robin"
The Gunslinger - The Journey Begins,"Furth, Robin"
The Gunslinger - The Man in Black,"Furth, Robin"
The Gunslinger - The Way Station,"Furth, Robin"
The Invisible Life of Ivan lsaenko,"Stambach, Scott"
The Lady of the Lake,"Sapkowski, Andrzej"
