book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:06:32,True,Pennsylvania,
Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:06:42,True,Pennsylvania,
¿De Dónde Eres?/Where Are You From?,2021-08-01,1.69,0.0,100.0,0.0,0.0,0.0,-100.0,-1.69,11.76,2026-02-05 22:06:47,True,Pennsylvania,
"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:06:52,True,Pennsylvania,
"Grandpa Cacao: A Tale of Chocolate, from Farm to Family",2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:07:08,True,Pennsylvania,
Encounter,2021-08-01,76.28,65.97,100.0,100.0,60.0,49.0,-13.52,-10.31,8.82,2026-02-05 22:07:13,True,Pennsylvania,
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),2021-08-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-05 22:07:18,True,Pennsylvania,
"Muffin Wars (Jaden Toussaint, the Greatest Series)",2021-08-01,0.0,2.09,0.0,100.0,0.0,0.0,inf,2.09,13.88,2026-02-05 22:07:23,True,Pennsylvania,
Come with Me,2021-08-01,85.21,73.81,100.0,100.0,65.0,59.0,-13.38,-11.4,9.65,2026-02-05 22:07:34,True,Pennsylvania,
The Sunday Outing,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:07:44,True,Pennsylvania,
An Indigenous Peoples' History of the United States,2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:07:54,True,Pennsylvania,
Who Was Cesar Chavez? (Who was...? Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:07:59,True,Pennsylvania,
Lovely,2021-08-01,49.98,59.52,100.0,100.0,38.0,46.0,19.1,9.54,11.81,2026-02-05 22:08:15,True,Pennsylvania,
Catching the Moon: The Story of a Young Girl's Baseball Dream,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:08:20,True,Pennsylvania,
"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:08:35,True,Pennsylvania,
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:08:46,True,Pennsylvania,
